SYMBOL,OPEN,HIGH,LOW,PREV. CLOSE,LTP,INDICATIVE CLOSE,CHANGE,% CHANGE,VOLUME (shares),VALUE (Crores),52W H,52W L,30 D %CHNG,365 D %CHNG
"SHRIRAMFIN","1,135.50","1,135.50","1,117.00","1,129.90","1,117.20","-","-12.7","-1.12","3582194","402.97","1,153.70","566.50","7","82.58"
"ULTRACEMCO","11,790.00","11,891.00","11,650.00","11,780.00","11,891.00","-","111","0.94","328113","384.60","13,110.00","10,325.00","1.54","-4.48"
"ITC","279.00","279.55","275.40","279.00","276.15","-","-2.85","-1.02","12630816","350.21","427.00","275.00","-1.99","-33.67"
"ADANIENT","3,020.00","3,020.00","2,943.00","2,995.50","2,985.70","-","-9.8","-0.33","1160458","344.49","3,245.00","1,753.00","-5.44","34.4"
"NTPC","338.45","341.35","335.35","338.45","339.45","-","1","0.3","10152704","342.81","414.40","315.55","-1.48","-0.19"
"JIOFIN","252.75","256.05","249.00","252.75","256.05","-","3.3","1.31","13290344","334.98","333.70","223.30","5.82","-21.7"
"NESTLEIND","1,503.00","1,515.70","1,495.30","1,493.20","1,507.00","-","13.8","0.92","1990581","299.38","1,553.00","1,084.70","3.56","38.12"
"SUNPHARMA","1,942.00","1,945.70","1,926.80","1,942.00","1,944.00","-","2","0.1","1536383","297.16","2,046.90","1,548.00","0.44","19.84"
"DRREDDY","1,206.80","1,206.80","1,190.00","1,205.00","1,200.00","-","-5","-0.41","2366909","283.70","1,414.90","1,101.00","-3.56","-1.66"
"MAXHEALTH","1,030.80","1,034.90","1,001.50","1,040.00","1,007.50","-","-32.5","-3.13","2762821","279.33","1,301.70","903.00","-9.08","-20.08"
"BAJAJ-AUTO","11,729.00","11,819.00","11,678.00","11,717.00","11,700.00","-","-17","-0.15","236192","277.47","11,863.00","8,132.50","15.2","42.74"
"ONGC","240.00","241.33","238.65","239.45","239.05","-","-0.4","-0.17","10695237","256.17","307.50","227.65","-2.41","1.5"
"EICHERMOT","8,000.50","8,049.00","7,940.00","8,000.00","8,049.00","-","49","0.61","317282","253.64","8,230.00","5,643.00","9.28","42.26"
"ADANIPORTS","1,669.80","1,672.70","1,640.40","1,668.20","1,665.00","-","-3.2","-0.19","1494540","247.10","1,891.10","1,290.50","-8.92","25.14"
"TRENT","3,000.00","3,019.00","2,972.90","3,000.00","2,987.00","-","-13","-0.43","692694","207.25","3,782.67","2,183.67","2.9","-16.49"
"HINDUNILVR","2,065.00","2,072.10","2,050.10","2,064.90","2,063.00","-","-1.9","-0.09","995523","204.68","2,750.00","2,016.00","-4.07","-16.94"
"HCLTECH","1,370.00","1,370.00","1,340.40","1,365.40","1,365.40","-","0","0","1418468","192.48","1,780.10","1,030.00","17.29","-8.92"
"SBILIFE","1,840.80","1,840.80","1,816.50","1,837.60","1,830.00","-","-7.6","-0.41","1053505","192.48","2,132.00","1,700.40","-1.77","-0.44"
"TATACONSUM","1,077.00","1,078.00","1,054.30","1,078.00","1,061.90","-","-16.1","-1.49","1713131","181.91","1,282.70","1,007.20","-4.5","1.44"
"POWERGRID","267.95","270.00","266.30","267.95","269.45","-","1.5","0.56","6699919","179.61","324.95","250.00","-4.82","-5.34"
"ASIANPAINT","2,733.20","2,748.40","2,698.20","2,735.50","2,740.00","-","4.5","0.16","648174","176.74","2,985.70","2,115.00","2.32","10.56"
"COALINDIA","412.60","413.70","408.20","412.60","409.30","-","-3.3","-0.8","4089147","167.62","491.25","368.65","-4.66","6.22"
"WIPRO","184.51","185.00","181.91","184.60","183.94","-","-0.66","-0.36","8624548","157.87","273.10","169.00","4.83","-23.9"
"HDFCLIFE","536.00","537.75","531.40","536.00","537.00","-","1","0.19","2392072","127.72","815.00","530.50","-5.41","-29.91"
"BAJAJFINSV","2,023.00","2,028.40","2,006.10","2,032.00","2,020.50","-","-11.5","-0.57","571047","114.98","2,195.00","1,597.00","5.45","5.9"
"INDIGO","5,266.50","5,333.00","5,228.00","5,284.00","5,333.00","-","49","0.93","215913","113.72","6,232.50","3,895.20","0.4","-10.03"
"JSWSTEEL","1,285.90","1,288.90","1,268.20","1,283.40","1,269.10","-","-14.3","-1.11","862476","109.98","1,335.00","1,022.30","1.9","21.07"
"CIPLA","1,460.00","1,468.80","1,456.10","1,463.00","1,463.00","-","0","0","621021","90.87","1,673.00","1,165.70","1.64","-3.85"
